,Assvie,Sexe,Age,Couple,Statmat,Nat,Dip,Occ,Work,Statpro,Herit,Pere,Mere,Gpp,Gpm,Evtgrav,Livep,Eplog,Epsal,Vmob,Livdf,Pel,Cel,Pep,Assdec,Retraite,Capi,Pea,Urbani,Zres,Nbenf,Logt,Terre,Dette,Detlog,Detvo
4007,O,H,57,O,mar,fra,bact,act,catC,priv,O,N,N,N,N,N,O,N,O,O,O,N,N,N,N,N,N,O,U4,nor,1,prop,N,O,N,N
4008,O,F,53,O,mar,fra,bac+2,ina,catB,priv,O,N,O,N,N,O,O,O,N,O,O,O,O,N,N,N,N,O,U4,nor,1,prop,N,O,N,N
4009,N,F,54,O,mar,fra,bact,act,catC,priv,N,N,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,5,prop,N,O,O,O
4010,N,H,48,O,mar,fra,bact,act,,ind,O,N,N,N,N,N,O,O,N,O,O,O,O,N,N,N,N,N,U4,nor,5,prop,O,O,N,O
4011,N,F,44,O,mar,fra,cep,act,,ind,N,N,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,5,prop,O,O,N,O
4012,N,F,41,O,mar,fra,bac+2,act,catB,pub,N,O,O,O,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,N
4013,N,H,52,N,cel,fra,sans,ina,catC,pub,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,N,N,N
4014,O,F,76,N,veu,fra,sans,ret,catC,priv,O,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,4,prop,N,N,N,N
4015,O,H,32,O,mar,fra,bact,act,catC,priv,O,N,O,N,O,N,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,N
4016,N,H,41,O,mar,fra,bepc,act,catC,priv,N,N,N,N,N,N,O,N,O,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,N,N
4017,N,F,40,O,mar,fra,tec,ina,emp,pub,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,N,N
4018,N,H,78,O,mar,fra,bacg,ret,catB,pub,N,N,N,N,N,O,O,O,N,N,O,O,O,N,N,N,N,N,U4,nor,0,prop,N,N,N,N
4019,N,F,74,O,mar,fra,sans,ret,emp,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,N,N,N
4020,O,H,48,O,mar,fra,bac+5,act,catA,pub,N,N,O,N,N,N,O,O,N,O,O,N,O,N,N,N,N,O,U4,nor,0,prop,N,O,O,O
4021,O,F,48,O,mar,fra,bac+2,act,catA,priv,N,N,O,N,N,O,O,N,O,O,O,N,N,N,N,O,N,O,U4,nor,0,prop,N,O,O,O
4022,N,H,49,O,mar,fra,sans,act,catC,priv,N,N,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,3,prop,N,O,N,O
4023,N,F,53,O,mar,fra,sans,ina,emp,pub,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,3,prop,N,O,N,O
4024,N,H,21,N,cel,fra,,act,catC,priv,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,3,prop,N,O,N,O
4025,N,F,41,O,mar,fra,bact,act,emp,priv,N,O,O,N,N,N,O,O,O,N,O,O,O,N,N,N,N,N,U4,nor,0,prop,N,O,O,N
4026,N,H,54,O,mar,fra,cep,act,catC,priv,O,N,N,N,N,O,O,O,N,O,O,O,O,O,N,N,N,O,U4,nor,2,prop,N,N,N,N
4027,N,H,51,O,mar,fra,sans,ina,catC,priv,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,1,loc,N,O,N,N
4028,N,F,48,N,div,fra,tec,act,catC,priv,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,loc,N,N,N,N
4029,N,H,59,O,mar,fra,bac+5,act,,ind,O,N,O,N,N,O,O,N,N,N,O,N,N,N,O,O,N,N,U4,nor,4,prop,N,O,N,O
4030,N,F,51,O,mar,fra,bac+2,act,catB,pub,N,N,O,N,N,N,O,N,N,N,O,N,N,N,N,O,N,N,U4,nor,4,prop,N,O,N,O
4031,N,H,73,N,veu,fra,bacg,ret,emp,priv,O,N,N,N,N,N,O,O,N,O,O,N,O,N,O,N,N,N,U4,nor,2,prop,N,N,N,N
4032,N,F,36,N,div,fra,bepc,act,emp,priv,N,N,O,N,N,O,N,O,N,N,N,O,N,N,N,N,N,N,U4,nor,0,loc,N,N,N,N
4033,O,F,41,O,mar,fra,bac+5,act,catA,pub,O,O,N,N,O,N,N,O,N,N,N,O,O,O,O,N,N,N,U4,nor,0,prop,N,N,N,N
4034,N,H,51,O,mar,fra,tec,act,catA,priv,O,N,N,N,N,N,O,N,O,N,O,N,N,O,N,N,N,N,U4,nor,2,prop,N,O,O,N
4035,N,F,51,O,mar,fra,bepc,ina,emp,pub,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,2,prop,N,O,O,N
4036,O,H,30,O,mar,fra,bacg,act,Waut,pub,N,N,O,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U4,nor,0,prop,N,O,O,N
4037,N,F,28,O,mar,fra,bac+2,act,emp,priv,N,O,O,O,O,O,N,N,O,N,N,N,N,N,O,N,N,N,U4,nor,0,prop,N,O,O,N
4038,N,H,60,O,mar,fra,sans,act,emp,pub,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,1,prop,N,N,N,N
4039,N,F,65,N,veu,fra,sans,ina,emp,priv,O,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,3,loc,N,N,N,N
4040,N,H,52,O,div,fra,cep,act,catC,priv,N,O,N,N,N,O,O,N,O,N,N,N,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,N
4041,N,H,24,N,cel,fra,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,N
4042,N,H,35,O,mar,fra,sans,act,emp,pub,N,O,O,N,O,N,O,N,N,N,O,N,N,N,O,N,N,N,U4,nor,1,loc,N,N,N,N
4043,N,F,40,O,mar,fra,sans,ina,emp,priv,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,1,loc,N,N,N,N
4044,N,H,63,O,mar,fra,tec,ret,catC,priv,O,N,N,N,N,O,O,O,N,N,O,O,O,N,N,N,N,N,U4,nor,1,prop,N,O,N,N
4045,N,F,60,O,mar,fra,cep,ret,catC,pub,N,N,O,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,1,prop,N,O,N,N
4046,N,H,35,N,cel,fra,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,N,N,N
4047,N,F,46,O,mar,fra,sans,ina,emp,priv,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,N
4048,N,H,23,N,cel,fra,,ina,catC,priv,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,N
4049,N,H,30,O,mar,etr,,ina,catC,priv,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4050,N,F,28,O,mar,nat,bepc,ina,emp,pub,N,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4051,O,F,37,O,mar,fra,sans,ina,emp,priv,N,O,O,O,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,O
4052,N,H,38,O,cel,fra,sans,act,catC,priv,N,O,O,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,U4,nor,1,loc,N,O,N,N
4053,N,F,22,O,cel,fra,sans,ina,,,N,O,O,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,1,loc,N,O,N,N
4054,N,H,45,O,mar,fra,bacg,act,catA,pub,N,O,O,N,N,O,O,N,O,O,O,N,N,N,N,N,N,O,U4,nor,0,prop,N,O,O,N
4055,N,F,45,O,mar,fra,bac+2,act,catB,priv,N,N,O,N,N,O,N,O,N,N,N,N,O,N,N,O,N,N,U4,nor,0,prop,N,O,O,N
4056,N,H,22,N,cel,fra,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,N
4057,N,F,64,O,mar,fra,cep,ret,emp,priv,O,N,N,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U4,nor,2,loc,N,O,N,O
4058,N,H,70,N,veu,fra,sans,ret,catC,priv,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,7,prop,N,O,N,N
4059,N,H,25,N,cel,fra,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,N,N,N
4060,N,H,26,O,cel,fra,bac+2,act,,ind,N,O,O,O,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4061,N,H,35,O,mar,fra,sans,ina,catC,priv,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4062,N,F,34,O,mar,fra,sans,ina,emp,pub,N,N,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4063,N,H,76,O,mar,fra,sans,ret,catC,priv,N,N,N,N,N,O,N,N,N,N,N,N,N,N,O,N,N,N,U4,nor,5,loc,N,N,N,N
4064,N,F,79,O,mar,fra,sans,ret,,ind,N,N,N,N,N,O,N,N,N,N,N,N,N,N,O,N,N,N,U4,nor,5,loc,N,N,N,N
4065,N,F,38,N,div,fra,sans,act,emp,priv,N,N,O,N,N,O,O,N,N,N,O,N,N,N,O,N,N,N,U4,nor,0,loc,N,N,N,N
4066,O,H,51,O,mar,fra,cep,ina,catA,priv,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,prop,N,N,N,N
4067,N,F,23,N,cel,fra,,ina,emp,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,N,N,N
4068,N,H,21,N,cel,fra,,act,catC,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,N,N,N
4069,N,H,65,O,mar,fra,tec,ret,catA,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,3,prop,N,N,N,N
4070,N,F,67,O,mar,fra,cep,ina,,,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,3,prop,N,N,N,N
4071,N,H,47,O,mar,fra,tec,act,catC,priv,N,N,N,N,N,N,O,N,O,N,O,N,N,N,N,N,N,N,U4,nor,1,loc,N,O,N,N
4072,N,F,30,N,cel,fra,tec,ina,,,N,O,O,O,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,N,N,N
4073,N,H,38,N,cel,fra,bac+5,ina,emp,pub,N,O,O,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,loc,N,N,N,N
4074,N,H,64,O,mar,fra,tec,ret,catC,priv,N,N,N,N,N,O,O,N,N,O,O,N,N,N,O,N,N,O,U4,nor,1,prop,N,N,N,N
4075,N,F,66,O,mar,fra,sans,ina,,,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,1,prop,N,N,N,N
4076,N,H,31,O,mar,fra,bacg,act,catB,pub,N,O,O,O,N,N,O,N,N,N,O,N,N,N,O,O,N,N,U4,nor,0,prop,N,O,O,O
4077,N,F,63,N,veu,fra,sans,ina,catC,priv,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,5,prop,N,N,N,N
4078,N,H,36,O,mar,fra,tec,ina,catC,priv,N,N,N,N,O,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,N,N,N
4079,O,H,30,O,div,fra,tec,act,catC,priv,N,N,O,N,N,N,O,N,O,N,O,N,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,N
4080,N,H,32,O,cel,fra,bepc,act,emp,priv,N,O,N,N,N,N,O,O,O,N,O,O,N,N,O,O,N,N,U4,nor,0,loc,N,O,N,N
4081,N,H,26,O,mar,fra,tec,ina,catC,priv,O,O,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4082,N,H,80,O,mar,etr,sans,ret,catC,pub,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,5,prop,N,N,N,N
4083,N,F,77,O,mar,fra,cep,ina,,,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,5,prop,N,N,N,N
4084,O,H,64,O,mar,fra,cep,ret,catC,priv,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,2,prop,N,N,N,N
4085,N,F,62,O,mar,fra,cep,ina,,,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,2,prop,N,N,N,N
4086,N,H,50,O,mar,fra,bacg,act,catA,priv,N,O,O,N,N,O,O,O,N,O,O,N,O,O,N,N,N,O,U4,nor,0,prop,N,O,O,O
4087,N,F,51,O,mar,fra,tec,ina,catC,priv,N,N,O,N,N,O,O,N,N,O,O,N,N,O,N,N,N,O,U4,nor,0,prop,N,O,O,O
4088,N,F,21,N,cel,fra,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,O
4089,N,H,51,O,mar,fra,tec,act,catC,pub,N,O,N,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,U4,nor,1,prop,N,N,N,N
4090,N,F,48,O,mar,fra,tec,ina,catC,priv,N,O,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,1,prop,N,N,N,N
4091,N,H,70,N,veu,fra,sans,ret,catC,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4092,O,F,73,O,mar,fra,cep,ina,,,N,N,N,N,N,O,O,O,N,N,O,N,O,N,N,N,N,N,U4,nor,4,loc,N,N,N,N
4093,N,F,34,N,cel,fra,bac+2,act,,ind,N,O,O,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U4,nor,0,prop,N,O,O,O
4094,N,H,76,N,veu,fra,bepc,ret,emp,priv,O,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,2,prop,N,N,N,N
4095,N,H,49,N,cel,fra,tec,act,catB,priv,O,N,N,N,N,O,O,N,O,N,O,N,N,O,N,N,N,N,U4,nor,0,prop,N,O,O,N
4096,N,H,35,O,mar,fra,tec,act,emp,pub,N,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,O
4097,N,F,29,O,mar,fra,bepc,ina,emp,priv,N,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,O
4098,N,F,43,O,mar,fra,tec,act,emp,priv,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,O
4099,N,H,56,O,mar,fra,tec,act,catC,priv,N,N,O,N,N,O,O,O,N,O,O,O,N,N,O,N,N,O,U4,nor,2,prop,N,N,N,N
4100,N,F,52,O,mar,nat,sans,act,emp,priv,O,N,O,N,N,O,O,N,N,O,O,N,N,N,N,N,N,N,U4,nor,2,prop,N,N,N,N
4101,N,F,76,N,veu,fra,cep,ret,catC,priv,O,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,2,prop,N,N,N,N
4102,N,H,46,O,div,fra,cep,act,catC,priv,N,O,N,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U4,nor,1,loc,N,O,N,O
4103,O,H,29,O,cel,fra,bacg,act,catC,priv,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,N,N,N
4104,N,H,56,O,mar,fra,bac+5,act,catA,pub,N,N,O,N,N,N,O,N,N,N,O,N,N,N,N,O,N,N,U4,nor,0,prop,N,N,N,N
4105,N,F,51,O,mar,fra,bac+5,act,catA,pub,O,O,O,N,N,N,O,O,N,O,O,O,N,N,N,O,N,N,U4,nor,0,prop,N,N,N,N
4106,N,F,84,N,veu,fra,,ina,catC,priv,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,prop,N,N,N,N
4107,N,H,65,O,mar,etr,,ret,catC,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,7,loc,N,N,N,N
4108,N,H,47,O,mar,fra,tec,act,catC,pub,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,O,N,N,U4,nor,5,prop,N,O,N,O
4109,N,F,51,O,mar,fra,sans,ina,,,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,5,prop,N,O,N,O
4110,N,H,73,O,mar,fra,sans,ret,catC,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,4,prop,N,O,N,N
4111,N,F,67,O,mar,fra,sans,ret,emp,pub,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,4,prop,N,O,N,N
4112,N,H,43,O,mar,fra,tec,act,catC,priv,N,N,N,N,N,N,O,O,O,N,O,O,O,N,N,N,N,N,U4,nor,0,prop,N,O,N,O
4113,N,F,39,O,mar,fra,bac+5,act,emp,priv,N,O,O,N,O,O,O,O,O,N,O,O,N,N,N,N,N,N,U4,nor,0,prop,N,O,N,O
4114,N,F,32,O,mar,fra,bac+2,ina,emp,priv,N,O,O,N,N,O,O,O,N,O,O,O,O,N,N,N,N,O,U4,nor,0,loc,N,O,N,O
4115,O,F,68,O,mar,fra,bac+2,ret,catB,pub,N,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,1,prop,O,N,N,N
4116,N,H,22,O,cel,fra,bacg,act,emp,priv,N,O,O,O,O,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4117,O,F,47,O,mar,fra,sans,act,emp,pub,N,N,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,8,loc,N,O,N,O
4118,N,F,48,O,cel,fra,bac+5,act,catA,pub,O,N,N,N,N,N,O,O,N,N,O,N,O,N,N,N,N,N,U4,nor,0,prop,N,O,O,N
4119,N,H,46,N,cel,fra,tec,ina,catC,priv,O,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,1,loc,N,N,N,N
4120,N,H,45,N,cel,fra,tec,ina,catC,priv,N,N,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,1,loc,N,N,N,N
4121,N,F,42,O,mar,fra,tec,act,Waut,priv,N,N,N,N,N,O,N,O,N,N,N,O,N,N,O,N,N,N,U4,nor,0,loc,N,O,N,O
4122,N,F,74,N,div,etr,,ina,,,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,3,prop,N,N,N,N
4123,O,F,48,N,div,fra,tec,act,catC,priv,N,N,O,N,N,N,O,N,O,N,O,N,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,N
4124,O,H,72,O,mar,fra,tec,ret,catC,priv,N,N,N,N,N,N,O,N,N,O,O,N,N,N,N,N,N,O,U4,nor,3,prop,N,N,N,N
4125,O,F,63,O,mar,fra,cep,ina,,,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,3,prop,N,N,N,N
4126,N,F,66,N,veu,fra,sans,ret,,ind,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,N,N
4127,N,H,23,N,cel,fra,,act,catC,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,O
4128,N,H,40,O,cel,fra,tec,ina,catC,priv,N,N,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4129,N,F,30,O,cel,fra,bac+5,act,emp,pub,N,O,O,O,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4130,N,F,32,N,cel,fra,tec,ina,catC,priv,N,O,O,O,O,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4131,N,F,51,N,div,fra,tec,ina,emp,priv,N,,,,,N,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,1,loc,N,N,N,N
4132,N,H,28,O,cel,fra,bac+2,act,emp,priv,N,O,O,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,O
4133,N,F,24,O,cel,fra,bac+2,act,emp,priv,N,O,O,N,O,N,O,O,N,N,O,N,O,N,N,N,N,N,U4,nor,0,loc,N,O,N,O
4134,N,H,66,O,mar,fra,cep,ret,emp,pub,N,N,N,N,N,O,O,N,N,N,O,N,N,N,O,N,N,N,U4,nor,4,loc,N,N,N,N
4135,N,F,61,O,mar,fra,cep,act,emp,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,4,loc,N,N,N,N
4136,N,F,38,N,div,fra,bepc,act,emp,priv,N,N,O,N,O,N,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,0,loc,N,N,N,N
4137,O,H,57,O,mar,fra,tec,act,emp,priv,N,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,1,prop,N,O,N,N
4138,N,F,53,O,mar,fra,bac+2,act,catA,priv,N,N,N,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,1,prop,N,O,N,N
4139,N,H,25,N,cel,fra,,act,emp,pub,N,,,,,,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,1,prop,N,O,N,N
4140,O,H,49,O,mar,fra,bac+5,act,catA,pub,N,O,O,N,O,O,O,N,N,O,O,N,N,N,N,O,N,N,U4,nor,2,prop,N,O,N,O
4141,N,H,51,O,mar,fra,bac+5,act,catA,pub,N,N,N,N,N,O,O,O,N,N,O,O,N,N,N,O,N,N,U4,nor,1,prop,N,O,O,N
4142,N,F,57,O,mar,fra,bepc,act,emp,pub,N,N,O,N,N,O,O,O,N,N,O,O,N,N,N,O,N,N,U4,nor,1,prop,N,O,O,N
4143,N,H,21,N,cel,fra,,ina,emp,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,N
4144,N,H,34,O,mar,fra,bac+5,act,catA,pub,N,N,O,O,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,N
4145,N,H,36,O,mar,fra,bac+5,act,catA,pub,N,O,O,O,N,N,O,O,N,O,O,O,N,N,N,N,N,O,U4,nor,0,prop,N,O,N,N
4146,N,F,80,O,mar,fra,sans,ret,emp,priv,N,N,N,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,1,prop,N,N,N,N
4147,O,H,50,O,div,fra,tec,act,catA,priv,O,N,O,N,O,O,O,O,N,N,O,O,O,N,N,N,N,N,U4,nor,4,loc,N,N,N,N
4148,N,F,53,O,div,fra,bact,act,catC,priv,N,N,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,4,loc,N,N,N,N
4149,N,H,57,O,mar,fra,bac+5,act,catA,pub,O,N,O,N,N,O,O,O,N,O,O,O,N,N,N,N,N,O,U4,nor,1,prop,N,N,N,N
4150,O,F,46,O,mar,fra,bact,act,emp,priv,O,N,N,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,N
4151,N,H,49,O,mar,fra,bac+2,act,,ind,N,O,O,N,N,O,O,O,N,N,O,O,N,N,O,O,N,N,U4,nor,0,prop,N,O,N,O
4152,N,F,47,O,mar,fra,bac+2,act,,ind,N,N,O,N,N,N,O,O,N,N,O,O,N,N,O,O,N,N,U4,nor,0,prop,N,O,N,O
4153,N,F,81,N,veu,fra,sans,ret,catC,priv,N,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,2,prop,N,N,N,N
4154,O,F,60,O,mar,fra,sans,ina,emp,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,3,loc,N,N,N,N
4155,N,H,37,O,mar,fra,bac+5,act,,ind,N,O,O,N,N,N,O,O,N,O,O,O,O,N,O,N,N,O,U4,nor,0,prop,N,O,O,N
4156,N,F,32,O,mar,fra,bact,ina,emp,priv,N,O,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,N
4157,N,F,71,O,mar,fra,tec,ret,catC,priv,O,N,O,N,N,N,O,O,N,O,O,O,N,N,O,N,N,O,U4,nor,3,prop,O,O,N,N
4158,O,H,38,N,cel,fra,bact,act,catC,priv,N,O,O,N,N,O,O,O,N,O,O,O,N,O,N,N,N,O,U4,nor,0,prop,N,O,O,N
4159,N,F,38,N,cel,etr,sans,ina,emp,priv,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,loc,N,O,N,N
4160,N,F,21,N,cel,fra,,ina,,,N,,,,,,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,1,prop,N,O,N,O
4161,N,H,46,O,mar,fra,cep,ina,catC,priv,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,O,N,N,U4,nor,1,loc,N,O,N,O
4162,N,F,47,O,mar,fra,tec,act,catC,priv,N,O,N,N,N,N,O,N,N,N,O,N,N,N,N,O,N,N,U4,nor,1,loc,N,O,N,O
4163,O,F,67,O,mar,fra,cep,ret,catC,priv,O,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,1,prop,N,N,N,N
4164,N,H,57,O,mar,fra,tec,act,catC,priv,O,N,N,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,N
4165,N,F,55,O,mar,fra,bepc,ina,emp,priv,O,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,1,prop,N,O,O,N
4166,N,H,63,O,mar,fra,tec,ret,emp,pub,N,N,O,N,N,O,N,O,N,N,N,O,N,N,N,N,N,N,U4,nor,1,prop,N,O,N,O
4167,N,F,56,O,mar,fra,cep,act,emp,priv,O,N,N,N,N,O,N,O,N,N,N,O,N,N,N,N,N,N,U4,nor,1,prop,N,O,N,O
4168,N,H,48,O,mar,nat,bac+2,act,catA,priv,N,N,N,N,N,N,O,O,O,N,O,O,N,O,N,N,N,N,U4,nor,0,prop,N,O,O,O
4169,N,H,22,N,cel,fra,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,O
4170,N,H,46,O,mar,fra,cep,ina,catC,priv,N,N,O,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U4,nor,0,prop,N,O,O,N
4171,N,F,44,O,mar,fra,tec,act,emp,priv,N,N,O,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U4,nor,0,prop,N,O,O,N
4172,N,H,21,N,cel,fra,,act,catB,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U4,nor,0,prop,N,O,O,N
4173,O,H,66,O,mar,fra,bacg,ret,catC,pub,O,N,N,N,N,O,O,N,O,O,O,N,N,N,N,N,N,N,U4,nor,2,prop,N,O,N,O
